CGG_LABEL_ENCODED,PYEONG,BUILDING_AGE,FLR,BRAND_SCORE,IS_PREMIUM_GU,SUBWAY_SCORE,EDUCATION_PREMIUM
24,18.09555,28.0,16,2,0,3,0
8,15.10685,36.0,12,2,0,3,1
9,25.673175,23.0,7,2,0,3,0
5,25.60965,30.0,4,1,0,3,0
15,25.63385,14.0,4,3,0,4,0
13,17.47845,19.0,5,2,0,4,0
18,16.30475,38.0,5,2,0,3,1
3,18.146975,10.0,19,3,0,2,0
8,12.03345,36.0,2,2,0,3,1
3,14.97375,33.0,5,2,0,2,0
1,25.68225,9.0,6,4,0,2,0
10,7.3564975,12.0,6,2,0,3,0
11,25.6399,14.0,2,4,0,3,0
12,13.2011,3.0,7,2,0,4,0
0,25.709475,33.0,7,2,1,5,1
11,18.07982,13.0,10,3,0,3,0
1,17.88985,5.0,27,3,0,2,0
16,17.97455,6.0,11,4,0,3,0
7,18.14395,8.0,10,3,0,3,0
10,29.161,33.0,5,2,0,3,0
15,25.673175,31.0,18,2,0,4,0
20,13.01355,26.0,12,2,0,4,0
3,22.3366,20.0,5,2,0,2,0
20,25.679225,27.0,18,2,0,4,0
17,18.104625,37.0,8,2,1,4,1
12,34.778425,10.0,7,4,0,4,0
6,18.134875,30.0,9,2,0,3,0
18,14.8104,25.0,14,2,0,3,1
6,25.69072,21.0,2,3,0,3,0
18,18.13185,29.0,4,2,0,3,1
8,17.91405,39.0,12,2,0,3,1
17,36.6146,41.0,3,2,1,4,1
21,18.122775,25.0,9,2,0,3,0
8,12.493249999999998,37.0,9,2,0,3,1
8,15.10685,37.0,3,2,0,3,1
12,18.1448575,18.0,8,2,0,4,0
9,25.7091725,22.0,2,2,0,3,0
3,36.333275,21.0,12,2,0,2,0
17,30.343775,37.0,8,2,1,4,1
16,4.822455,7.0,7,2,0,3,0
2,18.14395,21.0,16,2,0,3,0
14,39.6396,46.0,8,2,1,5,1
24,25.69435,12.0,16,2,0,3,0
9,13.113375,39.0,8,2,0,3,0
19,17.8354,37.0,4,2,0,4,0
12,18.0774,27.0,11,2,0,4,0
14,11.82775,23.0,4,2,1,5,1
8,18.13185,24.0,4,2,0,3,1
6,27.554725,41.0,8,2,0,3,0
6,17.9806,27.0,7,2,0,3,0
8,25.642925,30.0,6,2,0,3,1
17,45.550450000000005,21.0,17,4,1,4,1
13,25.64595,31.0,8,2,0,4,0
3,25.686485,23.0,14,3,0,2,0
0,21.4269825,11.0,15,3,1,5,1
10,25.595735,23.0,16,2,0,3,0
2,15.10685,34.0,1,2,0,3,0
13,25.69919,8.0,9,3,0,4,0
13,17.738599999999998,28.0,2,2,0,4,0
10,33.4081,21.0,11,1,0,3,0
21,18.146975,15.0,8,3,0,3,0
10,25.673175,22.0,23,1,0,3,0
4,34.693725,25.0,1,2,0,3,0
19,18.11975,27.0,14,2,0,4,0
8,25.709475,5.0,22,3,0,3,1
14,25.685275,33.0,4,1,1,5,1
4,13.9392,28.0,15,2,0,3,0
1,25.618725,26.0,14,2,0,2,0
24,25.64595,26.0,8,2,0,3,0
7,25.63385,29.0,17,2,0,3,0
17,34.7149,30.0,5,2,1,4,1
2,17.844475,15.0,7,4,0,3,0
6,27.554725,41.0,8,2,0,3,0
6,17.995725,24.0,22,1,0,3,0
21,18.146975,7.0,12,3,0,3,0
2,25.70645,8.0,10,3,0,3,0
2,25.691325000000003,25.0,2,1,0,3,0
23,7.20555,7.0,13,2,0,5,0
8,18.110675,26.0,14,2,0,3,1
8,23.918675,37.0,7,2,0,3,1
